Country,Insufficient Data,HDI,Well-Being,Life Expectancy,GDP/capita,Foot-print,Governance Index,Gender Equality Rank,Inequality in education,Incarceration Rate,Suicide Rate,Homocide Rate,Income Inequality,Region,Sub-Region,Lat,Long,HDI rank,Well-Being rank,Life Expectancy rank,GDP/capita rank,Foot-print rank,Governance Index rank,Gender Equality Rank rank,Inequality in education rank,Incarceration Rate rank,Suicide Rate rank,Homocide Rate rank,Income Inequality rank
Afghanistan,0,0.46526426,4.758380858,48.7,1207.280241,0.54033364,150,152,44.82338,74,15.1,..,..,3,3b,33,66,137,99,148,133,1,150,137,130,41,124,137,1
Albania,0,0.732765803,5.268936604,76.9,8592.168756,1.811905593,65,45,11.9,184,#N/A,..,..,7,7b,41,20,74,73,38,74,58,65,44,56,107,150,150,2
Algeria,0,0.735623767,5.236960708,73.1,8432.874685,1.648142319,118,85,..,162,24.9,..,15.8,3,3a,28,3,71,76,80,76,49,118,80,148,99,143,146,3
Angola,0,0.531591422,4.20609164,51.1,6186.489994,0.890610927,129,..,34.587,106,19.1,2.7,5.5,4,4a,-12.5,18.5,120,122,143,85,14,129,146,106,60,136,43,4
Argentina,0,0.835572018,6.441067205,75.9,16011.6728,2.709071235,73,75,8.098,160,13.1,..,..,1,1b,-34,-64,37,35,44,47,84,73,70,43,97,116,135,5
Armenia,0,0.732982583,4.367811292,74.2,5463.2032,1.733440557,77,62,3.685,130,4.3,..,12.8,7,7a,40,45,73,118,61,88,53,77,58,21,80,34,96,6
Australia,0,0.93495825,7.405616149,81.9,38159.63365,6.68499159,10,19,1.9,152,9.8,7.5,8.2,2,2a,-25,135,2,8,4,16,143,10,19,4,94,89,59,7
Austria,0,0.88502726,7.346035958,80.9,40006.18691,5.291345642,11,5,3.48986,95,4.7,..,10.5,2,2c,47.333333,13.333333,22,11,14,13,131,11,5,17,55,40,99,8
Azerbaijan,0,0.751139174,4.218610823,70.7,9935.924425,1.9688118,114,59,8.3,236,12.4,0.6,5.9,7,7a,40.5,47.5,67,121,89,68,65,114,55,46,124,112,8,9
Bahrain,0,0.823921957,4.549465854,75.1,25799.49163,6.645130455,52,51,..,301,7.9,..,6.6,3,3b,26,50.5,42,111,50,33,142,52,49,145,138,68,114,10
Bangladesh,0,0.570099974,4.985649184,68.9,1659.15186,0.656558837,117,111,38.55827,43,18.3,..,6.9,5,5a,24,90,114,88,96,124,3,117,102,115,12,134,144,11
Belarus,0,0.798366518,5.525923419,70.3,13928.82579,3.987825725,126,31,3.67781,306,19.5,10.5,16.6,7,7c,53,28,46,65,90,56,105,126,31,20,140,138,66,12
Belgium,0,0.890262992,6.853514084,80,37631.06211,7.11051271,18,8,8.118,105,#N/A,#N/A,17.8,2,2c,50.833333,4,20,21,23,17,144,18,8,44,59,151,151,13
Belize,0,0.714982235,6.450644319,76.1,6669.820614,2.10917,63,90,15.85449,410,6.2,1,13.8,1,1a,17.25,-88.75,85,34,42,82,72,63,84,64,143,59,21,14
Benin,0,0.47963511,3.667139546,56.1,1587.340353,1.355719795,76,142,44.79226,77,1.7,..,8,4,4c,9.5,2.25,133,147,129,127,35,76,129,129,44,7,80,15
Bolivia,0,0.661830764,5.780620289,66.6,4849.317967,2.606054729,95,94,24.707,122,0.9,..,..,1,1b,-17,-65,98,54,108,94,82,95,88,86,75,4,79,16
Bosnia and Herzegovina,0,0.732530326,4.668517409,75.7,8689.508856,2.738704294,86,41,12.50965,73,4.7,1,..,7,7b,44.25,17.833333,75,104,46,73,85,86,40,57,38,37,19,17
Botswana,0,0.697918743,3.553020146,53.2,13893.06407,2.842844762,39,106,32.082,193,3.2,6.7,26.1,4,4a,-22,24,86,149,137,57,87,39,97,101,110,24,56,18
Brazil,0,0.755291956,6.837331186,73.5,11210.39081,2.934764729,53,97,23.56,301,19.6,..,12.3,1,1b,-10,-55,65,22,70,65,90,53,91,84,139,139,145,19
Bulgaria,0,0.781675314,4.220367451,73.4,13930.64979,3.564774414,49,44,5.51671,125,8.8,..,8.3,7,7b,43,25,51,120,75,55,98,49,43,30,77,77,119,20
Burkina Faso,0,0.402287573,4.035560442,55.4,1255.937092,1.52578628,75,144,38.6481,34,11.5,0.7,6.9,4,4c,13,-2,147,134,131,132,44,75,130,116,8,103,13,21
Burundi,0,0.399928329,3.79168079,50.4,408.5535491,0.845377541,134,109,36.86809,93,8.7,..,33.9,4,4b,-3.5,30,148,143,144,149,11,134,100,112,54,75,118,22
Cambodia,0,0.554758321,4.161225375,63.1,2193.968522,1.19342113,115,104,28.3292,112,4.3,0.6,7.8,6,6c,13,105,115,128,115,119,28,115,96,92,63,33,6,23
Cameroon,0,0.511806528,4.433885204,51.6,2294.360673,1.087925193,119,132,34.76,115,11,1.1,9.4,4,4c,6,12,123,113,140,116,21,119,121,107,66,98,24,24
Canada,0,0.913178984,7.650346263,81,39050.16732,6.428537676,9,25,3.856,106,14,0.3,..,2,2b,60,-96,10,2,13,14,140,9,25,22,61,121,3,25
Central African Republic,0,0.350131068,3.567892459,48.4,788.8855537,1.356604961,141,147,34.5496,16,5.7,..,..,4,4a,7,21,150,148,150,146,36,141,133,104,1,52,106,26
Chad,0,0.391905717,3.742871146,49.6,1370.184454,1.89141777,143,153,41.86106,39,1.7,2.4,9.7,4,4b,15,19,149,146,146,130,62,143,138,122,9,6,42,27
Chile,0,0.832178477,6.635655696,79.1,15779.25948,3.237786332,23,65,12.595,242,5.1,0.6,10.3,1,1b,-30,-71,39,29,30,48,96,23,61,58,126,44,7,28
China,0,0.727494941,4.652736639,73.5,7598.834968,2.130289282,99,40,..,118,1.2,42.9,17.3,6,6a,35,105,77,106,71,80,73,99,39,142,69,5,75,29
Colombia,0,0.7201704,6.408113706,73.7,9452.796069,1.801067791,80,92,21.256,243,28.8,2.8,11.1,1,1b,4,-72,82,36,68,71,57,80,86,79,127,147,45,30
Comoros,0,0.503183524,3.92351296,61.1,1096.373581,1.30428,127,..,47.61438,31,1.9,1.3,9.6,4,4a,-12.166667,44.25,127,138,119,137,33,127,145,135,3,10,28,31
Congo,1,0.590621541,3.819792213,57.4,4245.17814,1.081816201,128,137,21.52094,27,5.9,4,7.2,4,4a,#N/A,#N/A,110,141,125,98,20,128,125,80,2,55,49,32
"Congo, Dem. Rep. of the",0,0.433135354,3.983848565,48.4,346.9718799,0.758148809,148,149,27.69055,32,10.3,..,31.6,4,4a,0,25,141,136,149,151,6,148,134,90,5,93,127,33
Costa Rica,0,0.765746905,7.271053807,79.3,11568.60844,2.520027779,40,66,15.51065,352,16.8,..,5.9,1,1a,10,-84,59,13,28,63,77,40,62,63,141,130,140,34
Cote d'Ivoire,0,0.462221997,4.197181518,55.4,1899.17711,0.994593431,137,151,45.11142,52,3.8,..,43,4,4c,8,-5,138,123,130,123,18,137,136,131,18,29,94,35
Croatia,0,0.817539869,5.59557522,76.6,19543.28189,4.19358543,44,30,4.33104,81,13.6,4.1,10.8,7,7b,45.166667,15.5,44,62,39,43,110,44,30,24,46,117,50,36
Cuba,0,0.769011135,5.417868479,79.1,5253,1.895394735,93,68,11.25588,510,2.6,..,18.8,1,1a,22,-79.5,57,71,31,90,63,93,64,53,147,14,86,37
Cyprus,0,0.849745435,6.386546111,79.6,31092.27667,4.441846008,24,22,13.14751,80,13.6,39.8,38.6,2,2e,35,33,31,37,25,26,115,24,22,60,45,118,74,38
Czech Republic,0,0.870090821,6.152203608,77.7,24517.90296,5.273965432,27,15,1.39045,203,8.2,1.3,15,7,7b,49.75,15,27,43,35,36,130,27,15,1,113,72,30,39
Denmark,0,0.923327926,7.770515285,78.8,40162.59001,8.253636745,2,4,2.96127,61,12.2,..,26.2,2,2d,56,10,4,1,32,12,147,2,4,13,28,110,134,40
Djibouti,0,0.470442735,5.005810871,57.9,2308.087244,1.84912,101,..,46.974,68,10.1,..,..,4,4b,11.5,42.5,135,85,124,115,60,101,142,134,33,92,126,41
Dominican Republic,0,0.715028472,4.735021226,73.4,9350.087904,1.422579552,88,104,22.929,232,10.1,1.4,6.7,1,1a,19,-70.666667,84,100,74,72,40,88,95,82,123,91,33,42
Ecuador,0,0.731674443,5.838051509,75.6,8027.559519,2.367701679,113,83,21.05,162,8.2,0.7,9.2,1,1b,-2,-77.5,76,53,47,78,75,113,79,78,100,71,9,43
Egypt,0,0.689948655,3.876922472,73.2,6179.971937,2.059464372,98,131,40.9,76,4.1,..,25.3,3,3a,27,30,88,139,77,86,69,98,119,119,42,30,95,44
El Salvador,0,0.665784288,6.739911151,72.2,6667.848272,1.993261915,61,91,30.246,516,5,..,6.9,1,1a,13.833333,-88.916667,96,25,85,83,66,61,85,98,148,43,102,45
Estonia,0,0.860835015,5.137738838,74.8,20663.43202,4.73471371,25,33,2.42599,215,19.5,9,12.7,7,7b,59,26,29,79,52,39,122,25,33,9,116,137,64,46
Ethiopia,0,0.441815954,4.370043934,59.3,1041.041718,1.132291282,124,129,44.335,128,0.9,4.7,..,4,4b,8,38,140,117,120,140,24,124,117,126,79,3,52,47
Finland,0,0.882727787,7.393264207,80,36472.55056,6.211172688,1,11,2.05054,57,7,..,15.7,2,2d,64,26,23,9,21,19,137,1,11,5,24,62,110,48
France,0,0.888107437,6.797901112,81.5,34123.19662,4.910920759,19,13,7.96173,99,44.2,19.5,..,2,2c,46,2,21,24,8,22,125,19,14,42,56,149,69,49
Georgia,0,0.754118641,4.101837086,73.7,5074.174102,1.433689035,59,77,3.305,274,11.4,..,12.6,7,7a,41.999981,43.499905,66,130,69,93,41,59,72,15,134,102,130,50
Germany,0,0.916079908,6.724530956,80.4,37402.26777,4.566273364,15,3,2.44114,76,9.2,..,35.2,2,2c,51.5,10.5,6,27,19,18,118,15,3,10,43,82,120,51
Ghana,0,0.579090287,4.606251825,64.2,1643.836936,1.739153922,55,127,36.74153,53,5.8,26.5,40.6,4,4c,8,-2,112,109,114,126,54,55,116,111,19,54,70,52
Greece,0,0.865187181,5.839558641,79.9,28408.36851,4.920748539,45,29,11.62377,90,3.1,..,14.1,2,2e,39,22,28,52,24,30,126,45,29,55,52,22,91,53
Guatemala,0,0.627208788,6.289748715,71.2,4784.909909,1.779610297,102,119,36.212,121,23.8,7.8,8.5,1,1a,15.5,-90.25,105,39,88,95,56,102,109,110,72,142,61,54
Guinea,0,0.411281627,4.044569723,54.1,1090.649004,1.715641433,139,..,48.26536,61,7.8,..,21.6,4,4c,11,-10,146,133,136,138,50,139,148,137,29,67,113,55
Guyana,0,0.635715749,5.992826473,69.9,3431.71608,2.08081,84,114,10.48157,259,0.4,..,..,1,1a,5,-59,101,49,92,103,70,84,104,50,131,2,78,56
Haiti,0,0.483373299,3.765998727,62.1,1110.731895,0.598455905,133,138,38.29759,102,5.5,84.3,59.4,1,1a,19,-72.416667,130,144,117,136,2,133,126,114,58,50,76,57
Honduras,0,0.606054608,5.866131512,73.1,3922.928216,1.732866614,103,106,26.41244,196,2.9,9.3,15.5,1,1a,15,-86.5,108,50,79,101,52,103,98,89,111,18,65,58
Hong Kong,0,0.90995187,5.642834599,82.8,46501.7275,5.81111,14,..,..,115,5.9,..,13.4,6,6b,22.25,114.166667,12,60,2,7,135,14,141,150,67,56,108,59
Hungary,0,0.828350453,4.725132697,74.4,20545.40146,3.591028697,33,42,3.18778,183,9.3,..,6.5,7,7b,47,20,41,101,59,40,99,33,41,14,106,83,121,60
Iceland,0,0.899412127,6.888284167,81.8,35642.2265,6.5393,16,12,2.41753,45,5.7,..,9.4,2,2d,65,-18,15,20,6,21,141,16,12,8,15,53,107,61
India,0,0.608692727,4.989277403,65.4,3425.448927,0.869743782,78,130,42.112,33,2.9,2,8,5,5a,20,77,107,87,111,104,12,78,118,123,6,17,41,62
Indonesia,0,0.683759559,5.457299414,69.4,4325.253328,1.12749177,91,110,20.81128,67,9.6,..,..,6,6c,-5,120,90,70,93,97,22,91,101,77,32,87,124,63
Iran,0,0.765590711,4.76750686,73,11569.6554,2.660012933,136,114,37.345,287,5.5,..,..,3,3b,32,53,60,97,81,62,83,136,105,113,135,51,105,64
Iraq,0,0.653860839,5.016920811,69,3561.726808,1.420339232,145,123,30.63102,123,9.2,5.4,6.4,3,3b,33,44,100,84,95,102,39,145,113,99,76,81,54,65
Ireland,0,0.915541562,7.257389644,80.6,40464.32801,6.215010755,13,21,5.367,81,11.5,..,6.6,2,2c,53,-8,7,14,17,11,138,13,21,29,47,104,131,66
Israel,0,0.894272981,7.358916104,81.6,28573.33074,3.95816849,41,18,9.907,256,11.1,0.9,6.2,3,3b,31.5,34.75,17,10,7,29,103,41,18,49,129,100,17,67
Italy,0,0.873022984,6.354237976,81.9,31954.17518,4.524813012,42,10,10.55974,88,3.2,..,15.4,2,2e,42.833333,12.833333,26,38,5,25,116,42,10,51,50,25,92,68
Jamaica,0,0.718529602,6.207881955,73.1,7673.413016,1.721922037,58,93,5.60595,145,16,..,10.9,1,1a,18.25,-77.5,83,41,78,79,51,58,87,32,86,126,139,69
Japan,0,0.890593213,6.05675259,83.4,33732.86822,4.170427112,22,26,19.813,47,12.2,..,93.9,6,6b,36,138,19,47,1,23,109,22,26,76,16,109,133,70
Jordan,0,0.748328542,5.696180563,73.4,5749.203958,2.130497775,60,102,16.9017,150,4.2,18.9,21.6,3,3b,31,36,68,58,72,87,74,60,93,70,92,32,68,71
