Country,Insufficient Data,Life Expectancy,Well-Being,Foot-print,GDP/capita,Governance Index,Gender Equality Rank,Inequality in education,HDI,Sub-Region,Region,Lat,Long
Afghanistan,0,48.7,4.758380858,0.54033364,1207.280241,150,152,44.82338,0.46526426,3b,3,33,66
Albania,0,76.9,5.268936604,1.811905593,8592.168756,65,45,11.9,0.732765803,7b,7,41,20
Algeria,0,73.1,5.236960708,1.648142319,8432.874685,118,85,..,0.735623767,3a,3,28,3
Angola,0,51.1,4.20609164,0.890610927,6186.489994,129,..,34.587,0.531591422,4a,4,-12.5,18.5
Argentina,0,75.9,6.441067205,2.709071235,16011.6728,73,75,8.098,0.835572018,1b,1,-34,-64
Armenia,0,74.2,4.367811292,1.733440557,5463.2032,77,62,3.685,0.732982583,7a,7,40,45
Australia,0,81.9,7.405616149,6.68499159,38159.63365,10,19,1.9,0.93495825,2a,2,-25,135
Austria,0,80.9,7.346035958,5.291345642,40006.18691,11,5,3.48986,0.88502726,2c,2,47.333333,13.333333
Azerbaijan,0,70.7,4.218610823,1.9688118,9935.924425,114,59,8.3,0.751139174,7a,7,40.5,47.5
Bahrain,0,75.1,4.549465854,6.645130455,25799.49163,52,51,..,0.823921957,3b,3,26,50.5
Bangladesh,0,68.9,4.985649184,0.656558837,1659.15186,117,111,38.55827,0.570099974,5a,5,24,90
Belarus,0,70.3,5.525923419,3.987825725,13928.82579,126,31,3.67781,0.798366518,7c,7,53,28
Belgium,0,80,6.853514084,7.11051271,37631.06211,18,8,8.118,0.890262992,2c,2,50.833333,4
Belize,0,76.1,6.450644319,2.10917,6669.820614,63,90,15.85449,0.714982235,1a,1,17.25,-88.75
Benin,0,56.1,3.667139546,1.355719795,1587.340353,76,142,44.79226,0.47963511,4c,4,9.5,2.25
Bolivia,0,66.6,5.780620289,2.606054729,4849.317967,95,94,24.707,0.661830764,1b,1,-17,-65
Bosnia and Herzegovina,0,75.7,4.668517409,2.738704294,8689.508856,86,41,12.50965,0.732530326,7b,7,44.25,17.833333
Botswana,0,53.2,3.553020146,2.842844762,13893.06407,39,106,32.082,0.697918743,4a,4,-22,24
Brazil,0,73.5,6.837331186,2.934764729,11210.39081,53,97,23.56,0.755291956,1b,1,-10,-55
Bulgaria,0,73.4,4.220367451,3.564774414,13930.64979,49,44,5.51671,0.781675314,7b,7,43,25
Burkina Faso,0,55.4,4.035560442,1.52578628,1255.937092,75,144,38.6481,0.402287573,4c,4,13,-2
Burundi,0,50.4,3.79168079,0.845377541,408.5535491,134,109,36.86809,0.399928329,4b,4,-3.5,30
Cambodia,0,63.1,4.161225375,1.19342113,2193.968522,115,104,28.3292,0.554758321,6c,6,13,105
Cameroon,0,51.6,4.433885204,1.087925193,2294.360673,119,132,34.76,0.511806528,4c,4,6,12
Canada,0,81,7.650346263,6.428537676,39050.16732,9,25,3.856,0.913178984,2b,2,60,-96
Central African Republic,0,48.4,3.567892459,1.356604961,788.8855537,141,147,34.5496,0.350131068,4a,4,7,21
Chad,0,49.6,3.742871146,1.89141777,1370.184454,143,153,41.86106,0.391905717,4b,4,15,19
Chile,0,79.1,6.635655696,3.237786332,15779.25948,23,65,12.595,0.832178477,1b,1,-30,-71
China,0,73.5,4.652736639,2.130289282,7598.834968,99,40,..,0.727494941,6a,6,35,105
Colombia,0,73.7,6.408113706,1.801067791,9452.796069,80,92,21.256,0.7201704,1b,1,4,-72
Comoros,0,61.1,3.92351296,1.30428,1096.373581,127,..,47.61438,0.503183524,4a,4,-12.166667,44.25
Congo,1,57.4,3.819792213,1.081816201,4245.17814,128,137,21.52094,0.590621541,4a,4,#N/A,#N/A
"Congo, Dem. Rep. of the",0,48.4,3.983848565,0.758148809,346.9718799,148,149,27.69055,0.433135354,4a,4,0,25
Costa Rica,0,79.3,7.271053807,2.520027779,11568.60844,40,66,15.51065,0.765746905,1a,1,10,-84
